“id”,“project_number”,“project_name”,"project_address",“project_city”,“project_province”,“registration_date”,“certification_date”,certification_level,rating_system,“project_size”,project_type,owner_type
"20","14606","Envision Credit Union - Westbank Branch","201-3550 Carrington Way","Westbank","British Columbia","2006-11-15","2007-12-10","1",“28”,"325","2",“1”
"21","14554","Coast Capital Savings Credit Union","645 Tyee Road, Suite 400","Victoria","British Columbia","2003-10-22","2005-09-20","1",“30”,"0","2",“1”
"22","10014","VanCity Lynn Creek Community Branch","1370 Main Street","North Vancouver","British Columbia","2004-07-12","2005-07-21","2","1","1451","2",“1”
"23","14684","First Capital - RBC Beaconsfield","120 Beaurepaire","Beaconsfield","Quebec","2008-01-22","2009-06-15","2",“3”,"681","2",“1”
"24","15987","Canadian Western Bank - Edmonton Main Branch","12230 Jasper Avenue, Suite 100","Edmonton","Alberta","2012-12-13","2016-03-14","2",“20”,"2676","2",“1”
"25","15331","iNova Credit Union Halifax","6150 Almon Street","Halifax","Nova Scotia","2012-02-13","2015-05-01","2",“20”,"338","2",“1”
"26","15793","Succursale Banque TD Henri-Bourassa","595 boul Henri-Bourassa","Montréal","Quebec","2012-08-30","2014-08-24","2",“20”,"498","2",“1”
"27","11994","Banque Nationale - nouvelle succursale Lachine","3180, rue Remembrance","Montréal","Quebec","2009-02-17","2011-07-04","2",“20”,"405","2",“1”
"28","10794","Envision Financial Newton Branch","7322 King George Highway","Surrey","British Columbia","2007-07-05","2010-12-14","2",“20”,"360","2",“1”
"29","11682","Confidential Project",,,"Ontario","2008-09-29","2011-01-04","2",“20”,"626","2",“1”
"30","13421","Carrefour St-David Est - Bâtiment B","1 Blanche Lamontagne","Beauport","Quebec","2010-06-15","2014-01-16","2",“21”,"585","2",“1”
"31","13509","Carrefour du Versant Ouest - Bâtiment G","750 Montée Paiement","Gatineau","Quebec","2010-06-15","2014-07-22","2",“21”,"465","2",“1”
"32","15107","McKenzie Towne Park - Site I","142 Mckenzie Towne Link SE","Calgary","Alberta","2011-08-23","2015-02-11","2",“22”,"1210","2",“1”
"33","17684","BMO Merivale","1454 Merivale Rd","Ottawa","Ontario","2015-07-15","2017-01-26","2",“22”,"372","2",“1”
"34","11656","Caisse Desjardins Des Chutes Montmorency","5115 avenue Royale","Boischatel","Quebec","2008-09-16","2012-08-15","2",“25”,"1011","2",“1”
"35","11447","9630 MacLeod Trail S - BMO","9630 macLeod Trail SE","Calgary","Alberta","2008-07-10","2012-12-17","2",“25”,"628","2",“1”
"36","13225","Kootenay Savings Crossroads","605 20th Street","Castlegar","British Columbia","2010-04-14","2013-05-14","2",“25”,"1010","2",“1”
"37","10054","1st Choice Savings & Credit Union - Fairmont Branch","45 Fairmont Boulevard","Lethbridge","Alberta","2004-11-02","2008-06-12","2",“25”,"1822","2",“1”
"38","11298","Sunova Credit Union - Oakbank Location","Hwy 206, 40 Co-op Drive","Oakbank","Manitoba","2008-06-10","2013-05-13","2",“25”,"697","2",“1”
"39","10807","Bank of Montreal, Dundas and Third Line, Oakville","2536 Third Line","Oakville","Ontario","2007-07-11","2010-03-18","2",“25”,"545","2",“1”
"40","12511","Sunova Credit Union - Winnipeg, Riverbend Location","2526 Main Street","Winnipeg","Manitoba","2009-09-15","2013-05-13","2",“25”,"697","2",“1”
"41","11263","Assiniboine Credit Union - Fort Richmond Branch","2659 Pembina Highway","Winnipeg","Manitoba","2008-04-14","2010-08-11","2",“25”,"609","2",“1”
"42","11191","Confidential Project",,,"Ontario","2008-02-29","2016-06-02","2",“25”,"507","2",“1”
"43","14275","Royal Bank of Canada, Baseline & Merivale, Nepean","1330 Merivale Road","Ottawa","Ontario","2011-03-29","2014-07-17","2",“26”,"522","2",“1”
"44","14596","Envision Credit Union - Chilliwack City","45840 Cheam Avenue","Chilliwack","British Columbia","2006-08-25","2007-09-27","2",“28”,"1170","2",“1”
"45","14759","CRU3","3575 Douglas Street","Saanich","British Columbia","2008-10-07","2012-10-30","3",“3”,"1063","2",“1”
"46","15436","Vancity Credit Union - South Burnaby Community Branch","5064 Kingsway Ave.","Burnaby","British Columbia","2012-03-28","2015-02-12","3",“20”,"931","2",“1”
"47","13693","Vancity Burnaby Heights Community Branch Interior Fit Out","4302 Hastings Street","Burnaby","British Columbia","2010-06-15","2014-03-21","3",“20”,"950","2",“1”
"48","15721","Banque Nationale - 221, boul.des Grives, Gatineau","221, boulevard des Grives, Plateau des Grives","Gatineau","Quebec","2012-12-28","2015-04-15","3",“20”,"432","2",“1”
"49","12274","TD Canada Trust # 3290","180 Kent St.","Ottawa","Ontario","2010-05-14","2012-12-20","3",“20”,"1026","2",“1”
"50","15435","Shaughnessy Station Community Branch 33","2850 Shaughnessy St.","Port Coquitlam","British Columbia","2012-03-28","2014-06-23","3",“20”,"559","2",“1”
"51","14980","Banque Nationale - nouvelle succursale, avenue St-David, Québec","2841, avenue St-David","Québec","Quebec","2011-06-20","2014-01-27","3",“20”,"335","2",“1”
"52","15338","Banque Nationale  Flagship - succursale et bureaux Sherbrooke","1800, rue King Ouest","Sherbrooke","Quebec","2012-07-04","2014-02-28","3",“20”,"1818","2",“1”
"53","11905","RBC Portage and Edmonton Branch","370 Portage Avenue","Winnipeg","Manitoba","2009-01-08","2010-10-20","3",“20”,"792","2",“1”
"54","10923","Carrefour de la coopération (Caisse Desjardins de Granby-Haute-Yamaska)","450 rue Principale","Granby","Quebec","2007-10-19","2011-02-23","3",“25”,"13200","2",“1”
"55","11868","HSBC Edgemont Branch","3160 Edgemont Boulevard","North Vancouver","British Columbia","2008-12-11","2012-01-18","3",“25”,"480","2",“1”
"56","10342","Swan Valley Credit Union Head Office & Main Branch","913 Main Street","Swan River","Manitoba","2006-06-02","2010-02-08","3",“25”,"2069","2",“1”
"57","17763","TD Hillview","1663 Richmond Street","London","Ontario","2010-08-18","2015-07-31","3",“36”,"434","2",“1”
"58","15709","Mt. Tolmie Community Branch 68","1590 Cedar Hill Cross Road","Victoria","British Columbia","2012-08-02","2015-09-16","4",“20”,"421","2",“1”
"59","13960","TD Bank Branch - London Wonderland","3029 Wonderland Road South","London","Ontario","2009-11-17","2012-07-26","4",“23”,"509","2",“1”
"60","16993","Journey to Churchill - Gateway to the Arctic Building","54 Zoo Drive","Winnipeg","Manitoba","2014-05-16","2015-07-21","2",“26”,"1642","5",“1”
"61","16716","Confidential Project",,,"Ontario","2013-11-28","2015-08-18","2",“26”,"973",“6”,“1”
"62","14543","The Silva","131 West 16th Street","North Vancouver","British Columbia","2003-03-24","2005-10-17","1",“11”,"8738",“8”,“1”
"63","12107","U Condominiums","1080 Bay Street and 65 St Marys Street","Toronto","Ontario","2009-04-14","2017-06-12","1",“25”,"71512",“8”,“1”
"64","12966","Residences at RCMI","426 University Avenue","Toronto","Ontario","2009-12-09","2017-03-27","1",“25”,"24673",“8”,“1”
"65","10601","L Tower","8 The Esplanade","Toronto","Ontario","2007-02-27","2017-02-03","1",“25”,"46788",“8”,“1”
"66","13048","Confidential Project",,,"Ontario","2010-02-05","2016-03-15","1",“25”,"14333",“8”,“1”
"67","13474","Confidential Project",,,"Ontario","2010-06-15","2016-02-19","1",“25”,"48775",“8”,“1”
"68","14509","Bassins du Havre - Quai 1","1548, rue Basin","Montréal","Quebec","2011-07-05","2016-02-16","1",“26”,"19086",“8”,“1”
"69","12895","City Centre Condominiums","85 Duke Street","Kitchener","Ontario","2009-12-08","2017-01-31","2",“25”,"16800",“8”,“1”
"70","11928","Nexus Condominiums","8110 & 8130 Birchmount Road","Markham","Ontario","2009-02-19","2016-09-12","2",“25”,"36061",“8”,“1”
"71","10640","The Verdale , The Verdale II, The Verdale on the Valley","111, 131, 151 Upper Duke Crest","Markham","Ontario","2007-03-26","2012-10-11","2",“25”,"37186",“8”,“1”
"72","10495","Vista Place","148-178 West 13th Street","North Vancouver","British Columbia","2006-12-12","2011-01-04","2",“25”,"26877",“8”,“1”
"73","10293","Grand Triomphe II","500 Doris Avenue","North York","Ontario","2006-04-18","2012-11-01","2",“25”,"35177",“8”,“1”
"74","13822","LeBreton Flats Phase II","250 Lett Street","Ottawa","Ontario","2010-08-03","2016-10-21","2",“25”,"12231",“8”,“1”
"75","13598","hom Condominiums by Domicile","100 Champagne Avenue","Ottawa","Ontario","2010-05-31","2015-12-10","2",“25”,"9300",“8”,“1”
"76","10298","LeBreton Flats Phase 1","90 Booth St.","Ottawa","Ontario","2006-04-05","2014-01-29","2",“25”,"8760",“8”,“1”
"77","12406","Gooderham Condominium","390 Cherry Street","Toronto","Ontario","2009-12-18","2016-02-10","2",“25”,"30307",“8”,“1”
"78","12392","Clear Spirit Condominium","390 Cherry Street","Toronto","Ontario","2009-12-18","2015-06-23","2",“25”,"27816",“8”,“1”
"79","10742","SIX50 King West","650 King Street West","Toronto","Ontario","2007-06-04","2015-05-20","2",“25”,"19850",“8”,“1”
"80","11119","The Residences of Maple Leaf Square","55 Bremner","Toronto","Ontario","2008-02-15","2013-02-26","2",“25”,"59106",“8”,“1”
"81","10860","James Cooper Mansion Inc.","28 Linden St.","Toronto","Ontario","2007-09-18","2013-02-21","2",“25”,"22730",“8”,“1”
"82","11105","Residences of Avonshire Inc","100 Harrison Garden Blvd","Toronto","Ontario","2008-04-07","2013-01-31","2",“25”,"49575",“8”,“1”
"83","10237","Nuvo at Essex Phase 2","25 Viking Lane","Toronto","Ontario","2005-12-13","2009-10-05","2",“25”,"30475",“8”,“1”
"84","10113","Radiance @ MintoGardens","33 Sheppard Avenue East","Toronto","Ontario","2005-02-10","2006-04-20","2",“25”,"29545",“8”,“1”
"85","10016","Pomaria","1455 Howe St.","Vancouver","British Columbia","2004-11-15","2010-03-25","2",“25”,"16072",“8”,“1”
"86","13520","ERA","728 Yates Street","Victoria","British Columbia","2010-05-21","2016-05-19","2",“25”,"11471",“8”,“1”
"87","13177","Volare Condos","5289 Hwy 7, Unit 1","Woodbridge","Ontario","2010-02-11","2014-07-18","2",“25”,"10755",“8”,“1”
"88","15769","Arthouse Condos","9582 Markham Road","Markham","Ontario","2012-08-24","2018-02-07","2",“26”,"14841",“8”,“1”
"89","16507","Altoria","495 Avenue Viger Ouest","Montreal","Quebec","2014-02-03","2016-08-23","2",“26”,"17499",“8”,“1”
"90","17807","275 Slater Street-Recertification","275 Slater Street","Ottawa","Ontario","2015-11-18","2017-05-17","3",“23”,"24254",“8”,“1”
"91","12543","Parkside Towers at World on Yonge","7171 Yonge Street","Markham","Ontario","2009-11-29","2017-02-13","3",“25”,"40091",“8”,“1”
"92","13539","Eden Park Towers - Phase Two (Eden Park II Condominiums)","277 & 325 South Park Road","Markham","Ontario","2010-05-31","2015-07-16","3",“25”,"37441",“8”,“1”
"93","11803","Eden Park Towers - Phase One (Eden Park I Condominiums)","233, 253 & 273 South Park Road","Markham","Ontario","2008-12-04","2012-07-19","3",“25”,"44771",“8”,“1”
"94","10303","Majestic Court Condominiums","60 South Town Centre & 50 Clegg Rd","Markham","Ontario","2006-04-19","2011-12-07","3",“25”,"45890",“8”,“1”
"95","10409","Le Vistal I","150 chemin de la Pointe Sud","Montreal","Quebec","2006-09-14","2011-05-30","3",“25”,"21830",“8”,“1”
"96","11280","Le Vistal 2","250 chemin de la Pointe Sud","Montréal","Quebec","2008-04-21","2013-08-21","3",“25”,"27680",“8”,“1”
"97","12925","Cedar Springs PARC","3633 Mt. Seymour Parkway","North Vancouver","British Columbia","2009-12-01","2017-06-27","3",“25”,"11718",“8”,“1”
"98","12542","World Condos on Yonge","7161 & 7171 Yonge Street","Toronto","Ontario","2009-11-29","2017-02-13","3",“25”,"54551",“8”,“1”
"99","12649","River City Phases 1 & 2","River Street & King Street","Toronto","Ontario","2009-10-08","2016-08-12","3",“25”,"51150",“8”,“1”
"100","11741","Hullmark Centre Inc. - 5 Sheppard","5 Sheppard Avenue East","Toronto","Ontario","2008-11-14","2016-04-28","3",“25”,"30584",“8”,“1”
"101","11399","300 Front Street","300 Front St.","Toronto","Ontario","2008-06-16","2016-02-05","3",“25”,"57732",“8”,“1”
"102","10703","775 King West","775 King St. West","Toronto","Ontario","2007-06-19","2015-06-05","3",“25”,"27412",“8”,“1”
"103","13703","Fuzion","20 Joe Shuster Way","Toronto","Ontario","2010-07-07","2015-05-12","3",“25”,"27494",“8”,“1”
"104","12519","The Berczy","55 Front Street East","Toronto","Ontario","2009-08-28","2015-04-13","3",“25”,"18427",“8”,“1”
"105","12453","West Village Building B","2 Eva Road","Toronto","Ontario","2009-09-02","2015-03-18","3",“25”,"21859",“8”,“1”
"106","12451","West Village Tower A","6 Eva Road","Toronto","Ontario","2009-09-02","2014-12-22","3",“25”,"22327",“8”,“1”
"107","11920","Reflections Condo 85 The Donway W.","85 The Donway West","Toronto","Ontario","2009-01-20","2014-11-10","3",“25”,"11212",“8”,“1”
"108","12160","Motion","570 Bay Street","Toronto","Ontario","2009-06-16","2014-10-29","3",“25”,"30685",“8”,“1”
"109","13579","Richgrove Affordable Seniors Housing","620 Martin Grove","Toronto","Ontario","2010-06-21","2013-09-16","3",“25”,"16380",“8”,“1”
"110","11398","Nuvo at Essex Inc.- Phase III","45 Viking Lane","Toronto","Ontario","2008-06-26","2013-08-07","3",“25”,"29506",“8”,“1”
"111","11322","Sierra and Palomar at Village Gate West Toronto","7 and 3 Summerland Terrace","Toronto","Ontario","2009-04-14","2012-12-12","3",“25”,"37742",“8”,“1”
"112","10420","mintoSkyy","1042 Broadview Ave.","Toronto","Ontario","2006-10-11","2012-11-05","3",“25”,"18691",“8”,“1”
"113","12813","Rêve Condos","560 Front Street West","Toronto","Ontario","2010-02-10","2012-11-05","3",“25”,"22144",“8”,“1”
"114","10353","M5V Condominium","375 King Street West","Toronto","Ontario","2006-07-13","2012-10-29","3",“25”,"24011",“8”,“1”
"115","10904","Republic of Yonge & Eglinton - 25 Broadway","25 Broadway Ave","Toronto","Ontario","2008-01-11","2012-09-18","3",“25”,"18964",“8”,“1”
"116","10905","Republic of Yonge & Eglinton - 70 Roehampton","70 Roehampton Ave","Toronto","Ontario","2008-01-11","2012-09-18","3",“25”,"29322",“8”,“1”
"117","10934","SPRING@MINTOGARDENS","23-33 Sheppard Ave East","Toronto","Ontario","2007-12-20","2012-08-08","3",“25”,"26361",“8”,“1”
"118","10355","The Residences at the Accolade Inc.","Eglinton Ave East & Wynford Drive","Toronto","Ontario","2006-08-08","2012-02-29","3",“25”,"32017",“8”,“1”
"119","10155","The Residences at Verve Inc.","120 Holmwood Avenue","Toronto","Ontario","2005-04-27","2010-11-26","3",“25”,"40932",“8”,“1”
"120","10219","MintoMidtown","2195 Yonge Street (Yonge Street and Eglinton Avenue)","Toronto","Ontario","2005-09-28","2009-05-08","3",“25”,"86976",“8”,“1”
"121","10188","Minto Roehampton","150 Roehampton","Toronto","Ontario","2005-06-15","2008-01-30","3",“25”,"9656",“8”,“1”
"122","13033","Salt","1308 Hornby Street","Vancouver","British Columbia","2010-01-04","2017-04-28","3",“25”,"15265",“8”,“1”
"123","10503","Millennium Water - 1616 Columbia Street (Parcel 3)","1616 Columbia Street","Vancouver","British Columbia","2007-02-20","2010-06-02","3",“25”,"19311",“8”,“1”
"124","15868","Lansdowne Rideau","1035 Bank St.","Ottawa","Ontario","2012-12-03","2018-01-18","3",“26”,"18681",“8”,“1”
"125","17112","Alexandra Park Condominium Residences","38 Cameron St.","Toronto","Ontario","2014-07-28","2018-03-01","3",“26”,"19298",“8”,“1”
"126","16097","BlueSky Chinatown","183 East Georgia Street","Vancouver","British Columbia","2013-04-04","2017-06-26","3",“26”,"12961",“8”,“1”
"127","10392","The Chapelview Apartments","10-20 John Street","Brampton","Ontario","2006-09-22","2011-03-21","4",“25”,"16600",“8”,“1”
"128","10379","Dockside Green Phase 2 - Balance","381, 385 Tyee Road","Victoria","British Columbia","2006-07-28","2011-03-10","4",“25”,"14945",“8”,“1”
"129","14857","River Park (Uptown Markham) Condominiums","8200 & 8228 Birchmount Rd & 1 Uptown Dr","Markham","Ontario","2011-05-10","2017-05-03","4",“26”,"58227",“8”,“1”
"130","11880","PEAU - esthétique médicale","3550, Cote-des-neiges","Montreal","Quebec","2009-02-10","2012-01-19","2",“20”,"235",“9”,“1”
"131","16842","Seton Professional Centre","3883 Front Street SE","Calgary","Alberta","2014-02-25","2017-12-08","2",“22”,"9225",“9”,“1”
"132","15281","Centre Hospitalier Restigouche / Restigouche Hospital Centre","63 Gallant Street","Campbellton","New Brunswick","2012-02-21","2016-08-04","2",“26”,"32530",“9”,“1”
"133","16263","CSSS Vaudreuil-Solanges","3031, boul de la Gare","Vaudreuil","Quebec","2013-06-17","2016-05-02","2",“26”,"9945",“9”,“1”
"134","10965","Hilton Garden Inn Toronto Airport","3311 Caroga Drive","Mississauga","Ontario","2007-10-24","2013-07-04","1",“25”,"13483",“10”,“1”
"135","12205","Hôtel M - Holiday Inn Express & Suites Saint-Hyacinthe","1500 Johnson","Saint-Hyacinthe","Quebec","2009-06-23","2011-06-21","1",“25”,"5573",“10”,“1”
"136","13792","Eco River Lodge","60 Mill Road","Wakefield","Quebec","2010-06-18","2014-01-22","1",“25”,"952",“10”,“1”
"137","17180","Holiday Inn Express & Suites Vaudreuil-Dorion","33 boulevard Des Jeunes","Vaudreuil","Quebec","2014-09-23","2017-01-05","1",“26”,"7403",“10”,“1”
"138","15299","Element Vaughan Southwest","6170 HWY 7","Woodbridge","Ontario","2012-01-09","2014-07-29","1",“26”,"9508",“10”,“1”
"139","11787","BEST WESTERN PLUS Kelowna Environmental Wing","2402 Highway 97 N","Kelowna","British Columbia","2009-08-06","2012-07-17","2",“25”,"1533",“10”,“1”
"140","10087","E'Terra Inn, unique by choice, not by chance","201 Little Cove Road","Tobermory","Ontario","2004-12-21","2005-11-18","3",“25”,"703",“10”,“1”
"141","12540","World on Yonge (Liberty Suites)","7171 Yonge Street","Toronto","Ontario","2009-11-29","2017-02-16","3",“25”,"7468",“10”,“1”
"142","12264","Multilocatif Angus Phase II","4500, 4530 & 4600, Rue Molson","Montréal","Quebec","2009-06-01","2013-12-16","1",“21”,"3022",“11”,“1”
"143","16976","East Lake Campus Phase 1","8327 & 8329 Eastlake Drive","Burnaby","British Columbia","2014-05-14","2017-07-07","1",“22”,"8021",“11”,“1”
"144","15711","Hopewell Airport Park Phase II, Building E","10720 25th Street","Calgary","Alberta","2012-08-03","2014-10-21","1",“22”,"8930",“11”,“1”
"145","14890","130 John Savage - Multi-tenant Warehouse","130 John Savage Avenue","Dartmouth","Nova Scotia","2011-06-22","2017-02-08","1",“22”,"8500",“11”,“1”
"146","17466","Bâtiment Multi-Locatif ADM-3, Dorval","2200 Chemin de l'Aviation","Dorval","Quebec","2015-03-03","2017-01-26","1",“22”,"27163",“11”,“1”
"147","17114","Henday Industrial Park, Building 1","21440   115 Ave. NW","Edmonton","Alberta","2014-09-22","2017-06-21","1",“22”,"18559",“11”,“1”
"148","17116","Henday Industrial Park, Building 3","21330 115 Avenue NW","Edmonton","Alberta","2014-09-22","2017-06-21","1",“22”,"15635",“11”,“1”
"149","17905","8460 Mount Pleasant Way, Milton, Ontario","8460 Mount Pleasant Way","Milton","Ontario","2016-01-08","2017-07-24","1",“22”,"40243",“11”,“1”
"150","15655","Meadowvale Distribution Centre","3255 & 3275 Argentia Road","Mississauga","Ontario","2012-08-01","2015-10-06","1",“22”,"84508",“11”,“1”
"151","17377","Gateway Pacific Building B","13268 Worster Court","Richmond","British Columbia","2015-11-05","2017-12-20","1",“22”,"7348",“11”,“1”
"152","11450","Canada Post Airdrie Post Office","2945 Kingsview Boulevard S.E.","Airdrie","Alberta","2008-07-10","2017-04-07","1",“25”,"1138",“11”,“1”
"153","12484","Mapei Warehouse Addition - Delta","7440 Vantage Way","Delta","British Columbia","2009-09-08","2012-02-16","1",“25”,"4285",“11”,“1”
"154","10713","Groupe Stageline, bâtiment industriel haute performance énergétique","833 boul. L'Ange-Gardien","L'Assomption","Quebec","2007-05-01","2009-11-06","1",“25”,"3760",“11”,“1”
"155","11553","3M Canada, 2751 Peddie Road, Milton, Ontario","2751 Peddie Rd","Milton","Ontario","2008-08-21","2011-04-12","1",“25”,"28688",“11”,“1”
"156","12234","CIASTA Addition","BOMBARDIER Aeronautique, 131000 Boulevard Henri Fabre","Mirabel","Quebec","2009-06-25","2013-03-07","1",“25”,"3217",“11”,“1”
"157","10040","Metro Label Printing Facility","999 Progress Avenue","Toronto","Ontario","2004-10-29","2006-05-05","1",“25”,"12263",“11”,“1”
"158","11911","Longos Support Center","8800 Huntington Road","Vaughan","Ontario","2009-01-12","2015-05-04","1",“25”,"22935",“11”,“1”
"159","16873","Damotech - Faubourg Boisbriand","3620, avenue des Grandes Tourelles","Boisbriand","Quebec","2014-04-16","2016-07-19","1",“26”,"3347",“11”,“1”
"160","16051","Acklands Grainger Inc. Toronto Distribution Centre","21 Merchant Road","Caledon","Ontario","2013-01-31","2016-04-01","1",“26”,"49910",“11”,“1”
"161","16979","Tecnocosmesi - Laval","4160 Desserte sud, Autoroute 440 Ouest","Laval","Quebec","2014-05-28","2017-10-06","1",“26”,"5310",“11”,“1”
"162","15777","Wajax - Laval","2000, rue John Molson","Laval","Quebec","2012-08-28","2014-12-09","1",“26”,"2943",“11”,“1”
"163","15002","GROUPE MONTONI - Sun Chemical","5545, rue Ernest-Cormier","Laval","Quebec","2011-06-30","2013-07-08","1",“26”,"4605",“11”,“1”
"164","17322","Bureaux de ABB PMU, Ville de Québec","3400, rue Pierre Ardouin","Quebec","Quebec","2014-11-12","2017-07-05","1",“26”,"8480",“11”,“1”
"165","17221","Usine Saint-Hyacinthe de Agro-Bio contrôle inc","8550 avenue Émilien-Letarte","Saint-Hyacinthe","Quebec","2014-09-25","2017-10-20","1",“26”,"1073",“11”,“1”
"166","15301","Bombardier Transport - Centre de Prototypage","1320, rue René-Descartes","St-Bruno-de-Montarville","Quebec","2012-01-09","2016-01-14","1",“26”,"2947",“11”,“1”
"167","16224","EXEL Canada LTD - Saint-Jean-sur-Richelieu","760, chemin du Grand Bernier Nord","St-Jean-sur-Richelieu","Quebec","2013-06-12","2014-10-02","1",“26”,"38859",“11”,“1”
"168","15780","Financière SunLife - Acklands Grainger","4475, rue Griffith","Ville Saint-Laurent","Quebec","2012-08-28","2014-12-16","1",“26”,"5478",“11”,“1”
"169","15996","Confidential Project",,,"Quebec","2013-05-24","2015-08-21","1",“26”,"41332",“11”,“1”
"170","14749","KRAFT Oakville","2830 Plymouth Drive","Oakville","Ontario","2008-07-30","2011-07-25","1",“35”,"4039",“11”,“1”
"171","11792","Prologis Park Bolton- Building #1, Caledon, Ontario","70 Pillsworth Road","Caledon","Ontario","2008-11-10","2011-07-11","2",“21”,"38694",“11”,“1”
"172","17901","3495 Steeles Avenue East. Goreway West Business Park (Brampton, ON)","3495 Steeles Ave East","Brampton","Ontario","2015-12-03","2017-08-14","2",“22”,"14846",“11”,“1”
"173","17073","Stonegate Landing Buildings A & E","2626 Country Hills Blvd","Calgary","Alberta","2014-09-03","2017-06-28","2",“22”,"45525",“11”,“1”
"174","16882","Great Plains IV - Building 3","5840 76 Ave SE","Calgary","Alberta","2014-06-24","2017-02-13","2",“22”,"35763",“11”,“1”
"175","15457","Great Plains IV Buildings 1 & 2","7785 62nd Street SE","Calgary","Alberta","2012-04-11","2015-07-28","2",“22”,"64570",“11”,“1”
"176","15459","Stoney Warehouse 6","12290 - 18 Street NE","Calgary","Alberta","2012-04-11","2015-01-03","2",“22”,"38686",“11”,“1”
"177","15458","Stoney Warehouse 5","12285 18th Street NE","Calgary","Alberta","2012-04-11","2014-10-13","2",“22”,"27853",“11”,“1”
"178","17115","Henday Industrial Park Building 2","21325  115 Avenue NW","Edmonton","Alberta","2014-09-22","2017-06-21","2",“22”,"22891",“11”,“1”
"179","16596","95 Market Drive","95 Market Drive","Milton","Ontario","2013-09-25","2016-03-04","2",“22”,"37805",“11”,“1”
"180","16277","Confidential Project",,,"Ontario","2013-06-25","2016-03-22","2",“22”,"19700",“11”,“1”
"181","11350","Canada Post Hamilton - Letter Carrier Depot West","Tradewind Drive & Sandhill Road Lot 4 & 5 - Ancaster Industrial Park","Ancaster","Ontario","2008-06-16","2011-01-11","2",“25”,"1731",“11”,“1”
"182","11189","ORLANDO INDUSTRIAL BLDG. 125 Edgeware Rd., Brampton, ON.","125 Edgeware Road","Brampton","Ontario","2008-02-28","2011-07-20","2",“25”,"30500",“11”,“1”
"183","12058","Tantalus Winery","1670 Dehart Road","Kelowna","British Columbia","2009-03-04","2013-05-13","2",“25”,"1202",“11”,“1”
"184","10050","OMRON DUALTEC ECU Division","2440 Winston Park Drive","Oakville","Ontario","2004-10-20","2006-01-17","2",“25”,"8826",“11”,“1”
"185","11421","Centre de Distribution Montréal - Akzo Nobel","5799 route de l'aeroport","St-Hubert (Longueuil)","Quebec","2008-06-18","2010-10-18","2",“25”,"18838",“11”,“1”
